0,1,2,3,4,5,6,7,8,9,10
frankfurter,baking powder,shopping bags,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,soda,,,,,,,,,
beef,whole milk,,,,,,,,,
rum,onions,,,,,,,,,
baking powder,condensed milk,,,,,,,,,
frankfurter,root vegetables,yogurt,whole milk,,,,,,,
chicken,bottled water,,,,,,,,,
photo/film,beverages,bottled beer,,,,,,,,
ham,seasonal products,cat food,,,,,,,,
domestic eggs,pastry,,,,,,,,,
citrus fruit,flour,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
napkins,photo/film,dessert,,,,,,,,
misc. beverages,frankfurter,salt,curd,,,,,,,
tropical fruit,citrus fruit,bottled water,rolls/buns,soda,pickled vegetables,,,,,
chicken,shopping bags,,,,,,,,,
brown bread,pastry,,,,,,,,,
pip fruit,pastry,,,,,,,,,
whole milk,onions,,,,,,,,,
root vegetables,UHT-milk,nuts/prunes,frankfurter,misc. beverages,whole milk,cream cheese ,canned fish,,,
soda,pork,curd,Instant food products,,,,,,,
citrus fruit,waffles,,,,,,,,,
beef,newspapers,,,,,,,,,
pork,long life bakery product,,,,,,,,,
beverages,yogurt,,,,,,,,,
butter milk,sliced cheese,rolls/buns,,,,,,,,
salty snack,whole milk,,,,,,,,,
sausage,pip fruit,tropical fruit,pasta,rolls/buns,beverages,brown bread,,,,
citrus fruit,rolls/buns,,,,,,,,,
pastry,liquor,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
other vegetables,pastry,shopping bags,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
yogurt,soda,,,,,,,,,
root vegetables,ham,butter,brown bread,pastry,spread cheese,,,,,
other vegetables,brown bread,,,,,,,,,
pastry,domestic eggs,,,,,,,,,
whole milk,flour,,,,,,,,,
ice cream,waffles,,,,,,,,,
beef,roll products ,,,,,,,,,
fruit/vegetable juice,pasta,,,,,,,,,
meat,rolls/buns,pastry,,,,,,,,
sausage,yogurt,dishes,,,,,,,,
bottled beer,bottled water,rolls/buns,root vegetables,,,,,,,
berries,napkins,cereals,,,,,,,,
pip fruit,margarine,specialty cheese,,,,,,,,
frankfurter,curd,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
frankfurter,pot plants,brown bread,,,,,,,,
coffee,shopping bags,,,,,,,,,
sugar,coffee,,,,,,,,,
whipped/sour cream,candy,butter,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
pip fruit,seasonal products,,,,,,,,,
rolls/buns,bottled beer,misc. beverages,salt,,,,,,,
UHT-milk,curd,chocolate,,,,,,,,
other vegetables,zwieback,,,,,,,,,
root vegetables,butter,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
citrus fruit,sparkling wine,bottled water,,,,,,,,
UHT-milk,bottled beer,domestic eggs,rolls/buns,,,,,,,
canned beer,tropical fruit,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
whole milk,whole milk,,,,,,,,,
root vegetables,yogurt,pickled vegetables,,,,,,,,
canned beer,salty snack,,,,,,,,,
whole milk,newspapers,,,,,,,,,
white bread,soda,,,,,,,,,
rolls/buns,citrus fruit,pot plants,yogurt,roll products ,fruit/vegetable juice,,,,,
female sanitary products,dishes,,,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
beef,whole milk,frozen dessert,whipped/sour cream,,,,,,,
frankfurter,pastry,misc. beverages,,,,,,,,
sugar,flour,,,,,,,,,
soda,beverages,rolls/buns,curd,,,,,,,
white bread,curd,bottled water,,,,,,,,
bottled beer,brown bread,,,,,,,,,
chicken,whole milk,rolls/buns,,,,,,,,
pastry,ice cream,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
soda,beef,beef,rolls/buns,shopping bags,chocolate,processed cheese,brown bread,dessert,,
yogurt,whole milk,soft cheese,,,,,,,,
misc. beverages,soda,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
whipped/sour cream,candy,,,,,,,,,
whole milk,frankfurter,candles,grapes,herbs,other vegetables,yogurt,,,,
berries,soda,butter,other vegetables,white bread,cream cheese ,,,,,
whole milk,margarine,,,,,,,,,
hamburger meat,pip fruit,dish cleaner,,,,,,,,
chewing gum,other vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
pork,curd,,,,,,,,,
sausage,pip fruit,,,,,,,,,
fish,candy,rolls/buns,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
citrus fruit,brown bread,candy,domestic eggs,,,,,,,
bottled water,fruit/vegetable juice,cat food,,,,,,,,
sausage,red/blush wine,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
onions,specialty chocolate,,,,,,,,,
sausage,dessert,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
curd,grapes,curd,shopping bags,,,,,,,
chicken,cereals,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
root vegetables,whipped/sour cream,root vegetables,canned beer,,,,,,,
liqueur,whole milk,onions,soda,,,,,,,
chocolate,cat food,,,,,,,,,
pork,whole milk,,,,,,,,,
frankfurter,dessert,,,,,,,,,
soda,misc. beverages,,,,,,,,,
tropical fruit,pip fruit,whole milk,other vegetables,,,,,,,
chicken,tropical fruit,salt,,,,,,,,
bottled beer,pork,,,,,,,,,
onions,whole milk,cling film/bags,,,,,,,,
whole milk,grapes,,,,,,,,,
other vegetables,napkins,,,,,,,,,
UHT-milk,yogurt,,,,,,,,,
sausage,root vegetables,,,,,,,,,
hard cheese,sugar,bottled water,,,,,,,,
other vegetables,red/blush wine,rolls/buns,frozen vegetables,,,,,,,
citrus fruit,red/blush wine,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
nuts/prunes,brown bread,newspapers,,,,,,,,
yogurt,pot plants,,,,,,,,,
bottled water,curd,yogurt,,,,,,,,
other vegetables,soda,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pork,soda,canned vegetables,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
tropical fruit,whole milk,shopping bags,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
beef,bottled beer,specialty chocolate,yogurt,whole milk,,,,,,
specialty chocolate,soda,chocolate,,,,,,,,
canned beer,soda,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
soda,rolls/buns,,,,,,,,,
dessert,beverages,frozen meals,red/blush wine,,,,,,,
margarine,whole milk,berries,,,,,,,,
cat food,sparkling wine,,,,,,,,,
sausage,whole milk,popcorn,fruit/vegetable juice,canned fruit,whole milk,soda,,,,
citrus fruit,coffee,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
soda,tropical fruit,,,,,,,,,
soda,napkins,,,,,,,,,
margarine,house keeping products,whole milk,canned beer,,,,,,,
curd,coffee,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
brown bread,whole milk,,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
beef,frozen meals,pastry,white wine,whipped/sour cream,,,,,,
frankfurter,sliced cheese,sugar,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
soda,canned beer,,,,,,,,,
other vegetables,beef,tropical fruit,brown bread,cat food,,,,,,
root vegetables,chocolate,,,,,,,,,
sausage,specialty cheese,,,,,,,,,
chicken,onions,,,,,,,,,
sausage,frozen dessert,,,,,,,,,
rolls/buns,yogurt,chicken,whole milk,,,,,,,
butter,whole milk,,,,,,,,,
yogurt,white bread,,,,,,,,,
other vegetables,yogurt,pastry,,,,,,,,
chicken,soda,,,,,,,,,
processed cheese,whole milk,soda,domestic eggs,,,,,,,
pork,bottled beer,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
other vegetables,berries,organic products,,,,,,,,
soda,brown bread,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
root vegetables,processed cheese,yogurt,,,,,,,,
newspapers,long life bakery product,,,,,,,,,
dessert,dessert,flour,,,,,,,,
sausage,canned beer,kitchen towels,,,,,,,,
canned beer,yogurt,bottled water,,,,,,,,
citrus fruit,newspapers,shopping bags,,,,,,,,
cream cheese ,pastry,,,,,,,,,
liquor (appetizer),long life bakery product,,,,,,,,,
chicken,grapes,pot plants,curd cheese,coffee,napkins,,,,,
canned beer,domestic eggs,whole milk,,,,,,,,
berries,other vegetables,,,,,,,,,
soda,root vegetables,,,,,,,,,
frankfurter,grapes,salt,napkins,soda,,,,,,
root vegetables,female sanitary products,,,,,,,,,
condensed milk,onions,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
soda,frozen dessert,pickled vegetables,,,,,,,,
spices,butter,,,,,,,,,
coffee,roll products ,,,,,,,,,
curd,brown bread,,,,,,,,,
root vegetables,margarine,rolls/buns,,,,,,,,
newspapers,waffles,salty snack,,,,,,,,
coffee,liquor,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
berries,domestic eggs,,,,,,,,,
bottled water,specialty bar,curd,,,,,,,,
waffles,other vegetables,,,,,,,,,
meat,pasta,,,,,,,,,
whole milk,pastry,,,,,,,,,
curd,domestic eggs,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
domestic eggs,root vegetables,,,,,,,,,
root vegetables,soda,,,,,,,,,
beef,other vegetables,,,,,,,,,
citrus fruit,beef,rolls/buns,whole milk,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
candy,rolls/buns,coffee,yogurt,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
canned beer,specialty bar,,,,,,,,,
turkey,fruit/vegetable juice,domestic eggs,,,,,,,,
white bread,white bread,,,,,,,,,
whole milk,detergent,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
sausage,soda,newspapers,,,,,,,,
root vegetables,butter milk,,,,,,,,,
pork,frozen meals,,,,,,,,,
white wine,beverages,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
yogurt,herbs,,,,,,,,,
other vegetables,liquor,,,,,,,,,
soda,oil,,,,,,,,,
chicken,butter,rolls/buns,shopping bags,soda,,,,,,
citrus fruit,sauces,long life bakery product,,,,,,,,
shopping bags,waffles,,,,,,,,,
mayonnaise,processed cheese,,,,,,,,,
other vegetables,butter milk,long life bakery product,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
soda,oil,,,,,,,,,
canned beer,baking powder,,,,,,,,,
hard cheese,margarine,rolls/buns,,,,,,,,
pork,domestic eggs,,,,,,,,,
UHT-milk,specialty cheese,shopping bags,,,,,,,,
frankfurter,pastry,,,,,,,,,
bottled water,beverages,,,,,,,,,
oil,male cosmetics,,,,,,,,,
other vegetables,soda,,,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,butter milk,,,,,,,,,
ice cream,other vegetables,,,,,,,,,
bottled water,frankfurter,curd,butter milk,,,,,,,
pasta,shopping bags,,,,,,,,,
yogurt,condensed milk,,,,,,,,,
meat,butter,cleaner,misc. beverages,,,,,,,
hygiene articles,pastry,bottled beer,,,,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
rolls/buns,root vegetables,frozen vegetables,waffles,,,,,,,
frozen vegetables,misc. beverages,,,,,,,,,
whole milk,sausage,pet care,yogurt,,,,,,,
root vegetables,dessert,whisky,,,,,,,,
flower (seeds),whipped/sour cream,specialty chocolate,bottled water,,,,,,,
citrus fruit,cleaner,,,,,,,,,
rolls/buns,popcorn,fruit/vegetable juice,,,,,,,,
bottled beer,soda,hygiene articles,chicken,whole milk,whole milk,canned beer,curd,soda,,
curd,zwieback,,,,,,,,,
dessert,margarine,,,,,,,,,
root vegetables,butter,frozen vegetables,butter,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
soda,berries,,,,,,,,,
hamburger meat,tropical fruit,beverages,yogurt,soda,,,,,,
whole milk,waffles,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
pork,frozen potato products,curd cheese,,,,,,,,
whole milk,other vegetables,,,,,,,,,
cling film/bags,whipped/sour cream,coffee,,,,,,,,
soft cheese,coffee,,,,,,,,,
beef,white wine,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
salty snack,dessert,,,,,,,,,
pork,canned beer,,,,,,,,,
root vegetables,sugar,newspapers,,,,,,,,
sausage,chicken,,,,,,,,,
frozen vegetables,bottled water,,,,,,,,,
beef,shopping bags,,,,,,,,,
chicken,red/blush wine,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
tropical fruit,UHT-milk,napkins,whole milk,,,,,,,
frozen vegetables,butter,,,,,,,,,
beef,dessert,,,,,,,,,
cream cheese ,cleaner,,,,,,,,,
root vegetables,butter,,,,,,,,,
white bread,whipped/sour cream,frozen dessert,pastry,,,,,,,
newspapers,rolls/buns,,,,,,,,,
newspapers,newspapers,,,,,,,,,
bottled water,butter milk,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
beverages,long life bakery product,hygiene articles,,,,,,,,
sausage,cat food,,,,,,,,,
rolls/buns,mayonnaise,flour,,,,,,,,
root vegetables,canned beer,tropical fruit,rolls/buns,,,,,,,
fruit/vegetable juice,chocolate,,,,,,,,,
sausage,whipped/sour cream,specialty bar,,,,,,,,
canned beer,shopping bags,,,,,,,,,
whole milk,soft cheese,,,,,,,,,
whole milk,yogurt,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
sausage,fish,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
whole milk,dental care,,,,,,,,,
soda,instant coffee,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
root vegetables,herbs,cream cheese ,,,,,,,,
margarine,sugar,,,,,,,,,
meat,other vegetables,pasta,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
shopping bags,whole milk,cling film/bags,bottled beer,newspapers,,,,,,
sausage,yogurt,,,,,,,,,
soft cheese,berries,,,,,,,,,
sausage,margarine,margarine,,,,,,,,
sausage,berries,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
liver loaf,bottled water,bottled water,,,,,,,,
beef,tropical fruit,,,,,,,,,
whole milk,white bread,cream cheese ,,,,,,,,
whole milk,butter,,,,,,,,,
specialty bar,soda,,,,,,,,,
whipped/sour cream,instant coffee,,,,,,,,,
frozen vegetables,sugar,,,,,,,,,
meat,whole milk,whole milk,yogurt,,,,,,,
soda,mayonnaise,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
bags,yogurt,soda,,,,,,,,
pastry,bottled beer,,,,,,,,,
rolls/buns,dishes,,,,,,,,,
tropical fruit,citrus fruit,newspapers,,,,,,,,
female sanitary products,soda,,,,,,,,,
sausage,house keeping products,,,,,,,,,
root vegetables,chocolate,candy,,,,,,,,
frankfurter,pork,,,,,,,,,
sausage,other vegetables,rolls/buns,,,,,,,,
sugar,whole milk,ketchup,,,,,,,,
cake bar,soda,,,,,,,,,
detergent,ham,whole milk,pip fruit,,,,,,,
white wine,brown bread,,,,,,,,,
pork,sliced cheese,flour,,,,,,,,
whole milk,brown bread,,,,,,,,,
citrus fruit,cat food,,,,,,,,,
meat,pip fruit,beverages,soda,,,,,,,
soda,salty snack,,,,,,,,,
sausage,soda,,,,,,,,,
citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
condensed milk,shopping bags,,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
newspapers,specialty vegetables,,,,,,,,,
Instant food products,yogurt,,,,,,,,,
dishes,fruit/vegetable juice,,,,,,,,,
soda,seasonal products,,,,,,,,,
jam,house keeping products,,,,,,,,,
meat,nuts/prunes,,,,,,,,,
beef,potato products,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,canned fish,,,,,,,,,
beef,frozen fish,whole milk,,,,,,,,
tropical fruit,flower (seeds),,,,,,,,,
domestic eggs,specialty cheese,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
soda,dessert,,,,,,,,,
liver loaf,processed cheese,,,,,,,,,
citrus fruit,meat,,,,,,,,,
soda,abrasive cleaner,seasonal products,,,,,,,,
meat,liquor,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
beverages,specialty chocolate,,,,,,,,,
photo/film,soda,,,,,,,,,
pot plants,newspapers,brown bread,,,,,,,,
sausage,whipped/sour cream,misc. beverages,,,,,,,,
other vegetables,citrus fruit,semi-finished bread,softener,,,,,,,
canned beer,brown bread,,,,,,,,,
finished products,other vegetables,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
pip fruit,pip fruit,whipped/sour cream,shopping bags,domestic eggs,soda,cake bar,frozen meals,,,
root vegetables,kitchen towels,,,,,,,,,
beef,pasta,,,,,,,,,
newspapers,dishes,,,,,,,,,
tropical fruit,curd,salt,bottled water,,,,,,,
yogurt,specialty vegetables,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
white bread,frozen fruits,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
canned beer,napkins,sparkling wine,,,,,,,,
organic sausage,herbs,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
yogurt,yogurt,,,,,,,,,
beef,tea,oil,,,,,,,,
root vegetables,onions,,,,,,,,,
beef,mustard,,,,,,,,,
soda,soda,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
onions,pip fruit,,,,,,,,,
sauces,shopping bags,,,,,,,,,
whole milk,processed cheese,curd cheese,,,,,,,,
mayonnaise,frozen vegetables,processed cheese,,,,,,,,
other vegetables,bottled water,,,,,,,,,
pork,rolls/buns,,,,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
canned beer,ice cream,newspapers,pastry,bottled beer,,,,,,
red/blush wine,specialty bar,rolls/buns,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
ham,white bread,,,,,,,,,
rolls/buns,berries,shopping bags,rice,,,,,,,
pip fruit,butter,,,,,,,,,
frankfurter,other vegetables,specialty bar,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
semi-finished bread,rolls/buns,fruit/vegetable juice,tropical fruit,,,,,,,
rolls/buns,bottled water,bottled water,,,,,,,,
other vegetables,syrup,,,,,,,,,
pip fruit,whipped/sour cream,rolls/buns,,,,,,,,
soda,fruit/vegetable juice,bottled beer,,,,,,,,
whole milk,curd,yogurt,,,,,,,,
domestic eggs,whole milk,napkins,,,,,,,,
sugar,UHT-milk,margarine,,,,,,,,
other vegetables,soda,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
soda,rolls/buns,,,,,,,,,
frankfurter,rolls/buns,jam,,,,,,,,
sausage,specialty bar,,,,,,,,,
rolls/buns,yogurt,napkins,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
citrus fruit,sugar,specialty chocolate,,,,,,,,
tropical fruit,cake bar,,,,,,,,,
yogurt,tropical fruit,whipped/sour cream,Instant food products,,,,,,,
coffee,bottled water,liqueur,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
meat,grapes,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
frankfurter,citrus fruit,specialty chocolate,,,,,,,,
hamburger meat,tropical fruit,whipped/sour cream,rolls/buns,,,,,,,
skin care,processed cheese,,,,,,,,,
pastry,cream cheese ,,,,,,,,,
yogurt,red/blush wine,,,,,,,,,
UHT-milk,herbs,butter,oil,,,,,,,
hard cheese,butter,,,,,,,,,
citrus fruit,brown bread,ketchup,,,,,,,,
citrus fruit,sausage,brown bread,,,,,,,,
onions,oil,,,,,,,,,
sausage,oil,cream cheese ,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
beverages,newspapers,newspapers,pastry,,,,,,,
meat spreads,ketchup,,,,,,,,,
beef,yogurt,,,,,,,,,
onions,sauces,,,,,,,,,
pasta,hamburger meat,dessert,bottled water,,,,,,,
vinegar,grapes,frozen vegetables,,,,,,,,
pip fruit,specialty bar,,,,,,,,,
packaged fruit/vegetables,shopping bags,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
citrus fruit,liquor,white bread,,,,,,,,
whole milk,soda,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
frankfurter,pork,pastry,canned vegetables,,,,,,,
bottled beer,ice cream,salty snack,,,,,,,,
turkey,frozen potato products,butter,frozen dessert,,,,,,,
other vegetables,white bread,,,,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
chocolate,whole milk,,,,,,,,,
frankfurter,soups,,,,,,,,,
yogurt,herbs,pastry,whipped/sour cream,canned fish,,,,,,
finished products,rolls/buns,oil,frozen vegetables,,,,,,,
tropical fruit,salty snack,,,,,,,,,
cream cheese ,pudding powder,,,,,,,,,
pip fruit,spread cheese,misc. beverages,,,,,,,,
root vegetables,bottled water,,,,,,,,,
butter,specialty chocolate,,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
root vegetables,pastry,candles,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
dog food,white bread,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
chicken,pip fruit,,,,,,,,,
hamburger meat,ice cream,chocolate,curd,,,,,,,
whole milk,grapes,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
cooking chocolate,shopping bags,,,,,,,,,
sausage,root vegetables,,,,,,,,,
pork,pip fruit,,,,,,,,,
frozen meals,dental care,,,,,,,,,
canned beer,napkins,rolls/buns,,,,,,,,
organic sausage,bottled water,,,,,,,,,
candy,domestic eggs,,,,,,,,,
root vegetables,rolls/buns,bottled beer,rolls/buns,,,,,,,
whole milk,frozen potato products,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
citrus fruit,whole milk,UHT-milk,,,,,,,,
beverages,UHT-milk,,,,,,,,,
butter,canned beer,brown bread,canned beer,,,,,,,
bottled beer,butter milk,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
meat,root vegetables,,,,,,,,,
onions,root vegetables,,,,,,,,,
rolls/buns,butter milk,fruit/vegetable juice,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
root vegetables,napkins,,,,,,,,,
pip fruit,hamburger meat,butter,yogurt,,,,,,,
hamburger meat,soda,,,,,,,,,
pet care,butter milk,,,,,,,,,
tropical fruit,coffee,,,,,,,,,
pork,soda,,,,,,,,,
other vegetables,soda,pip fruit,brown bread,,,,,,,
canned beer,bottled beer,chocolate,,,,,,,,
hamburger meat,detergent,flour,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
other vegetables,domestic eggs,long life bakery product,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
candles,whole milk,,,,,,,,,
whole milk,canned beer,bottled water,bottled beer,,,,,,,
curd,pork,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
frankfurter,condensed milk,,,,,,,,,
beef,bottled water,,,,,,,,,
bottled beer,frozen vegetables,sliced cheese,,,,,,,,
beef,shopping bags,,,,,,,,,
pork,white bread,domestic eggs,,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
whole milk,soda,,,,,,,,,
soda,other vegetables,cream cheese ,,,,,,,,
tropical fruit,pork,photo/film,hard cheese,,,,,,,
UHT-milk,whole milk,,,,,,,,,
rolls/buns,yogurt,shopping bags,,,,,,,,
dessert,herbs,detergent,artif. sweetener,,,,,,,
grapes,cream cheese ,,,,,,,,,
whole milk,white bread,,,,,,,,,
butter milk,pip fruit,,,,,,,,,
other vegetables,oil,,,,,,,,,
hamburger meat,butter milk,seasonal products,,,,,,,,
brown bread,ketchup,soda,,,,,,,,
butter,soda,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
sausage,sausage,chicken,chewing gum,newspapers,bottled water,pastry,yogurt,,,
other vegetables,pip fruit,frozen vegetables,,,,,,,,
sausage,hard cheese,,,,,,,,,
citrus fruit,soda,butter,hard cheese,,,,,,,
rolls/buns,soda,,,,,,,,,
pet care,beef,,,,,,,,,
sliced cheese,soda,,,,,,,,,
chicken,chicken,salt,,,,,,,,
root vegetables,soft cheese,,,,,,,,,
root vegetables,tropical fruit,other vegetables,processed cheese,,,,,,,
cream cheese ,newspapers,,,,,,,,,
root vegetables,curd,waffles,,,,,,,,
whole milk,soda,,,,,,,,,
misc. beverages,UHT-milk,white bread,,,,,,,,
whole milk,root vegetables,,,,,,,,,
soda,candles,rolls/buns,,,,,,,,
butter milk,canned vegetables,,,,,,,,,
grapes,whipped/sour cream,,,,,,,,,
ham,yogurt,,,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
coffee,dessert,,,,,,,,,
margarine,beef,whipped/sour cream,,,,,,,,
bottled beer,hamburger meat,,,,,,,,,
pip fruit,white wine,,,,,,,,,
yogurt,yogurt,,,,,,,,,
newspapers,white wine,,,,,,,,,
pasta,oil,,,,,,,,,
chocolate,herbs,,,,,,,,,
rolls/buns,salty snack,brown bread,cream cheese ,,,,,,,
condensed milk,cat food,,,,,,,,,
beef,newspapers,bottled beer,,,,,,,,
curd,sausage,,,,,,,,,
citrus fruit,white bread,white bread,,,,,,,,
white bread,domestic eggs,,,,,,,,,
chicken,domestic eggs,white bread,,,,,,,,
brown bread,curd,,,,,,,,,
pastry,other vegetables,,,,,,,,,
beef,hygiene articles,,,,,,,,,
root vegetables,liquor,sliced cheese,,,,,,,,
pastry,red/blush wine,,,,,,,,,
tropical fruit,citrus fruit,frankfurter,spices,butter milk,UHT-milk,,,,,
dessert,newspapers,bottled water,,,,,,,,
cream cheese ,margarine,,,,,,,,,
bottled beer,frozen meals,whole milk,root vegetables,,,,,,,
ham,whole milk,,,,,,,,,
sausage,butter,yogurt,yogurt,,,,,,,
white bread,pip fruit,domestic eggs,,,,,,,,
specialty chocolate,yogurt,rolls/buns,misc. beverages,,,,,,,
pip fruit,white bread,sliced cheese,,,,,,,,
root vegetables,canned fish,hygiene articles,,,,,,,,
beef,napkins,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
soda,specialty bar,,,,,,,,,
beef,canned beer,,,,,,,,,
yogurt,whole milk,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
onions,root vegetables,domestic eggs,chocolate,,,,,,,
onions,soda,,,,,,,,,
oil,butter milk,cling film/bags,pastry,,,,,,,
light bulbs,yogurt,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
packaged fruit/vegetables,house keeping products,,,,,,,,,
rolls/buns,specialty cheese,domestic eggs,,,,,,,,
citrus fruit,soda,herbs,oil,,,,,,,
root vegetables,shopping bags,,,,,,,,,
meat,frozen potato products,,,,,,,,,
misc. beverages,red/blush wine,,,,,,,,,
beverages,citrus fruit,tropical fruit,ready soups,canned fish,soda,,,,,
domestic eggs,yogurt,,,,,,,,,
butter,chewing gum,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
flower (seeds),bottled beer,,,,,,,,,
pastry,dessert,,,,,,,,,
ham,berries,,,,,,,,,
